new_cluster_id,coordinates
86,"[[[-127.8141, 38.8658333], [-127.8141, 44.303666667], [-120.0842, 44.303666667], [-120.0842, 38.8658333], [-127.8141, 38.8658333]]]"
87,"[[[91.4759, 27.4538], [91.4759, 32.0214], [98.4266, 32.0214], [98.4266, 27.4538], [91.4759, 27.4538]]]"
88,"[[[31.9346, 32.0866], [31.9346, 38.1232], [38.0259, 38.1232], [38.0259, 32.0866], [31.9346, 32.0866]]]"
89,"[[[66.2502, 28.3929], [66.2502, 33.2832], [73.0214, 33.2832], [73.0214, 28.3929], [66.2502, 28.3929]]]"
90,"[[[121.0668, 8.2792], [121.0668, 15.2495], [126.7585, 15.2495], [126.7585, 8.2792], [121.0668, 8.2792]]]"
91,"[[[-69.565, -27.1697], [-69.565, -19.7022], [-63.0824, -19.7022], [-63.0824, -27.1697], [-69.565, -27.1697]]]"
92,"[[[43.3256, 31.9629], [43.3256, 36.9219], [49.1269, 36.9219], [49.1269, 31.9629], [43.3256, 31.9629]]]"
93,"[[[-100.7768, -37.0001], [-100.7768, -35.6638], [-96.2521, -35.6638], [-96.2521, -37.0001], [-100.7768, -37.0001]]]"
94,"[[[-153.1578, 53.2298], [-153.1578, 59.3063], [-144.9874, 59.3063], [-144.9874, 53.2298], [-153.1578, 53.2298]]]"
95,"[[[-80.6048, 4.0032], [-80.6048, 11.3434], [-75.2416, 11.3434], [-75.2416, 4.0032], [-80.6048, 4.0032]]]"
96,"[[[78.7142, 41.6983], [78.7142, 45.9723], [83.268, 45.9723], [83.268, 41.6983], [78.7142, 41.6983]]]"
97,"[[[175.7757, 49.7961], [175.7757, 53.3167], [179.9993, 53.3167], [179.9993, 49.7961], [175.7757, 49.7961]]]"
98,"[[[-85.6129, -45.1523], [-85.6129, -40.3751], [-79.375, -40.3751], [-79.375, -45.1523], [-85.6129, -45.1523]]]"
99,"[[[110.3558, -12.7519], [110.3558, -5.0977], [115.4645, -5.0977], [115.4645, -12.7519], [110.3558, -12.7519]]]"
100,"[[[-140.0649, 53.9843], [-140.0649, 62.2645], [-134.5634, 62.2645], [-134.5634, 53.9843], [-140.0649, 53.9843]]]"
101,"[[[-90.6985, 11.3535], [-90.6985, 16.4304], [-86.0815, 16.4304], [-86.0815, 11.3535], [-90.6985, 11.3535]]]"
102,"[[[98.5126, 18.8243], [98.5126, 25.0275], [103.344, 25.0275], [103.344, 18.8243], [98.5126, 18.8243]]]"
103,"[[[174.3728, -17.718], [174.3728, -13.2978], [179.9662, -13.2978], [179.9662, -17.718], [174.3728, -17.718]]]"
104,"[[[72.1636, 36.5666], [72.1636, 41.6851], [76.4502, 41.6851], [76.4502, 36.5666], [72.1636, 36.5666]]]"
105,"[[[-73.5727, -36.2968], [-73.5727, -31.4248], [-67.9272, -31.4248], [-67.9272, -36.2968], [-73.5727, -36.2968]]]"
106,"[[[19.3259, 34.7093], [19.3259, 39.5059], [23.2658, 39.5059], [23.2658, 34.7093], [19.3259, 34.7093]]]"
107,"[[[-76.6766, -12.3494], [-76.6766, -5.8119], [-70.6352, -5.8119], [-70.6352, -12.3494], [-76.6766, -12.3494]]]"
108,"[[[-124.1196667, 34.1078333], [-124.1196667, 41.3908], [-120.4259, 41.3908], [-120.4259, 34.1078333], [-124.1196667, 34.1078333]]]"
109,"[[[-101.784, 34.51616667], [-101.784, 37.5394], [-96.957, 37.5394], [-96.957, 34.51616667], [-101.784, 34.51616667]]]"
110,"[[[152.7804, -9.882], [152.7804, -3.898], [157.4532, -3.898], [157.4532, -9.882], [152.7804, -9.882]]]"
111,"[[[-126.0923, 43.1435], [-126.0923, 49.8614], [-117.899333333, 49.8614], [-117.899333333, 43.1435], [-126.0923, 43.1435]]]"
112,"[[[27.0456, 35.0576], [27.0456, 41.6034], [33.7513, 41.6034], [33.7513, 35.0576], [27.0456, 35.0576]]]"
113,"[[[-149.4373, 57.4135], [-149.4373, 63.9979], [-143.8376, 63.9979], [-143.8376, 57.4135], [-149.4373, 57.4135]]]"
114,"[[[54.9655, 25.8185], [54.9655, 32.4789], [61.0759, 32.4789], [61.0759, 25.8185], [54.9655, 25.8185]]]"
115,"[[[134.6308, 5.8963], [134.6308, 13.1925], [143.0629, 13.1925], [143.0629, 5.8963], [134.6308, 5.8963]]]"
116,"[[[-118.777666667, 41.6089], [-118.777666667, 52.7024], [-113.0497, 52.7024], [-113.0497, 41.6089], [-118.777666667, 41.6089]]]"
117,"[[[139.0362, 37.8445], [139.0362, 41.1262], [145.4485, 41.1262], [145.4485, 37.8445], [139.0362, 37.8445]]]"
118,"[[[51.6088, 26.0591], [51.6088, 29.3793], [55.4804, 29.3793], [55.4804, 26.0591], [51.6088, 26.0591]]]"
119,"[[[144.7527, 41.7294], [144.7527, 47.0174], [150.2151, 47.0174], [150.2151, 41.7294], [144.7527, 41.7294]]]"
120,"[[[-163.5439, 51.4678], [-163.5439, 58.152], [-155.8855, 58.152], [-155.8855, 51.4678], [-163.5439, 51.4678]]]"
121,"[[[-77.241, -18.2303], [-77.241, -12.0643], [-70.4526, -12.0643], [-70.4526, -18.2303], [-77.241, -18.2303]]]"
122,"[[[148.9544, 43.8484], [148.9544, 50.0419], [154.7309, 50.0419], [154.7309, 43.8484], [148.9544, 43.8484]]]"
123,"[[[73.0469, 31.7032], [73.0469, 37.6318], [80.4047, 37.6318], [80.4047, 31.7032], [73.0469, 31.7032]]]"
124,"[[[-66.6593, 17.2826], [-66.6593, 20.1685], [-61.852, 20.1685], [-61.852, 17.2826], [-66.6593, 17.2826]]]"
125,"[[[168.5563, 50.1851], [168.5563, 54.749], [175.8632, 54.749], [175.8632, 50.1851], [168.5563, 50.1851]]]"
126,"[[[91.0101, 17.8972], [91.0101, 23.4414], [98.3765, 23.4414], [98.3765, 17.8972], [91.0101, 17.8972]]]"
127,"[[[-97.3269, 14.4606], [-97.3269, 19.5977], [-92.3789, 19.5977], [-92.3789, 14.4606], [-97.3269, 14.4606]]]"
128,"[[[68.318, 38.149], [68.318, 43.1756], [73.0397, 43.1756], [73.0397, 38.149], [68.318, 38.149]]]"
129,"[[[-77.9316667, 38.0317], [-77.9316667, 42.8748], [-70.9546, 42.8748], [-70.9546, 38.0317], [-77.9316667, 38.0317]]]"
130,"[[[-74.7834, 8.5995], [-74.7834, 12.9502], [-67.8911, 12.9502], [-67.8911, 8.5995], [-74.7834, 8.5995]]]"
131,"[[[115.4699, -11.9349], [115.4699, -6.7324], [119.8645, -6.7324], [119.8645, -11.9349], [115.4699, -11.9349]]]"
132,"[[[141.3468, 20.6483], [141.3468, 25.5718], [146.6154, 25.5718], [146.6154, 20.6483], [141.3468, 20.6483]]]"
133,"[[[147.481, -11.5525], [147.481, -6.779], [153.4656, -6.779], [153.4656, -11.5525], [147.481, -11.5525]]]"
134,"[[[138.7659, 24.422], [138.7659, 29.4285], [144.8345, 29.4285], [144.8345, 24.422], [138.7659, 24.422]]]"
135,"[[[133.0453, 32.3698], [133.0453, 40.1456], [139.2056, 40.1456], [139.2056, 32.3698], [133.0453, 32.3698]]]"
136,"[[[125.8273, -4.9389], [125.8273, 0.798], [131.7737, 0.798], [131.7737, -4.9389], [125.8273, -4.9389]]]"
137,"[[[-169.165, 60.8388], [-169.165, 69.6579], [-164.6647, 69.6579], [-164.6647, 60.8388], [-169.165, 60.8388]]]"
138,"[[[-86.2843, 15.189], [-86.2843, 19.5293], [-78.405, 19.5293], [-78.405, 15.189], [-86.2843, 15.189]]]"
